city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Khuzdar,27.7384,66.6434,53.96,35,0,2.64,PK,1613344564
Tuy Hoa,13.0833,109.3,62.87,87,56,4.5,VN,1613344564
Najrān,17.4924,44.1277,59.0,31,0,2.28,SA,1613344564
Mastic Beach,40.7668,-72.8521,37.0,64,90,3.44,US,1613344564
Mossamedes,-15.1961,12.1522,74.19,78,97,11.16,AO,1613344564
Derzhavīnsk,51.1,66.3167,20.19,97,99,6.89,KZ,1613344565
Mwingi,-0.9344,38.0601,69.1,74,80,2.04,KE,1613344565
North Platte,41.1239,-100.7654,-2.2,60,90,4.61,US,1613344565
Vilanova del Camí,41.5717,1.6375,44.01,90,100,1.99,ES,1613344565
Cap Malheureux,-19.9842,57.6142,77.0,81,89,3.0,MU,1613344565
Kirakira,-10.4544,161.9205,84.9,72,50,7.38,SB,1613344565
Kununurra,-15.7667,128.7333,78.8,100,75,3.44,AU,1613344431
Jumla,29.2747,82.1838,34.93,80,53,3.02,NP,1613344565
Tokur,53.1333,132.9,-16.08,90,98,1.23,RU,1613344566
Port Hardy,50.6996,-127.4199,39.2,75,90,26.46,CA,1613344510
Noumea,-22.2763,166.4572,87.8,62,0,5.75,NC,1613344566
Galveston,29.3669,-94.9669,37.99,81,90,19.57,US,1613344523
Takāb,36.4009,47.1133,33.48,72,0,1.36,IR,1613344566
Champotón,19.35,-90.7167,80.6,69,40,9.22,MX,1613344566
Turaif,31.6725,38.6637,51.8,71,0,10.36,SA,1613344566
Chuzhou,32.3219,118.2978,52.0,81,0,1.01,CN,1613344567
Plettenberg Bay,-34.0527,23.3716,67.48,79,99,9.31,ZA,1613344567
Vila Velha,-20.3297,-40.2925,78.8,78,0,16.11,BR,1613344424
Dalvik,65.9702,-18.5286,41.0,70,75,9.22,IS,1613344567
Cabo San Lucas,22.8909,-109.9124,78.8,63,20,20.71,MX,1613344381
Mâncio Lima,-7.6142,-72.8958,73.4,100,90,10.36,BR,1613344567
Mahanje,-9.9333,35.3333,66.76,89,100,3.49,TZ,1613344567
Nueva Guinea,11.6876,-84.4562,80.29,71,2,7.34,NI,1613344568
Aswān,24.0934,32.907,64.04,28,0,12.21,EG,1613344568
Kawambwa,-9.7915,29.0791,64.47,97,100,1.95,ZM,1613344568
Ilulissat,69.2167,-51.1,8.6,66,90,12.66,GL,1613344568
Buin,-33.7333,-70.75,77.0,53,0,4.61,CL,1613344568
Kudahuvadhoo,2.6708,72.8944,80.94,76,96,10.96,MV,1613344568
High Level,58.5169,-117.136,3.2,66,20,14.97,CA,1613344569
Darnah,32.767,22.6367,55.53,78,98,22.88,LY,1613344569
Labuhan,-6.8844,112.2051,77.41,85,97,5.14,ID,1613344569
Limbang,4.75,115.0,77.0,94,75,1.14,MY,1613344569
Yar-Sale,66.8333,70.8333,-24.84,86,100,14.38,RU,1613344569
Fortuna,40.5982,-124.1573,48.99,100,40,20.71,US,1613344569
Coquimbo,-29.9533,-71.3436,62.6,77,75,9.22,CL,1613344432
Saskylakh,71.9167,114.0833,-20.27,85,100,13.0,RU,1613344569
Fairbanks,64.8378,-147.7164,3.99,78,1,0.85,US,1613344521
Chistogorskiy,53.9835,87.3843,15.03,96,100,3.69,RU,1613344570
Ahipara,-35.1667,173.1667,70.93,91,100,16.82,NZ,1613344570
Anadyr,64.75,177.4833,0.0,65,95,26.84,RU,1613344570
Baykit,61.67,96.37,-30.93,77,0,1.23,RU,1613344570
Krasnoyarsk,56.0097,92.7917,-13.0,84,40,2.28,RU,1613344570
Nikolskoye,59.7035,30.7861,8.6,78,75,8.95,RU,1613344570
Ancud,-41.8697,-73.8203,62.01,51,0,10.36,CL,1613344571
Humberto de Campos,-2.5983,-43.4611,77.56,88,100,5.53,BR,1613344571
Saint Simons,31.1352,-81.3901,50.0,93,90,9.22,US,1613344571
Qaqortoq,60.7167,-46.0333,32.0,74,75,1.14,GL,1613344571
Vila Franca do Campo,37.7167,-25.4333,60.01,72,20,23.02,PT,1613344571
Christchurch,-43.5333,172.6333,66.2,68,100,8.05,NZ,1613344485
Bunog,9.1403,117.7817,76.39,78,98,4.59,PH,1613344571
Khovd,48.0056,91.6419,8.8,87,0,1.39,MN,1613344571
Gokak,16.1667,74.8333,67.44,53,0,3.96,IN,1613344571
Novoorsk,51.381,58.9813,17.6,79,90,8.95,RU,1613344572
Brufut,13.3814,-16.7518,69.8,68,0,12.35,GM,1613344572
